grade,default_rate,loan_count
A,0.06040665277127909,235090
B,0.1338515713918333,392741
C,0.2243964934527334,381686
D,0.30382228680338186,200953
E,0.38478376935397757,93650
F,0.4520244556740907,32058
G,0.49934296977660975,9132
