lr_fpr,lr_tpr,xgb_fpr,xgb_tpr
0.0,0.0,0.0,0.0
4.643603436266543e-06,0.0,0.0,1.8617813523979743e-05
1.857441374506617e-05,0.0,4.643603436266543e-06,1.8617813523979743e-05
1.857441374506617e-05,1.8617813523979743e-05,4.643603436266543e-06,0.0001303246946678582
3.714882749013234e-05,1.8617813523979743e-05,9.287206872533085e-06,0.0001303246946678582
3.714882749013234e-05,5.585344057193923e-05,9.287206872533085e-06,0.0002606493893357164
4.643603436266543e-05,5.585344057193923e-05,1.3930810308799628e-05,0.0002606493893357164
4.643603436266543e-05,7.447125409591897e-05,1.3930810308799628e-05,0.00035373845695561515
5.572324123519851e-05,7.447125409591897e-05,1.857441374506617e-05,0.00035373845695561515
5.572324123519851e-05,9.308906761989872e-05,1.857441374506617e-05,0.0004282097110515341
6.965405154399815e-05,9.308906761989872e-05,2.3218017181332715e-05,0.0004282097110515341
6.965405154399815e-05,0.00011170688114387846,2.3218017181332715e-05,0.0005212987786714328
7.894125841653123e-05,0.00011170688114387846,2.7861620617599256e-05,0.0005212987786714328
7.894125841653123e-05,0.0001303246946678582,2.7861620617599256e-05,0.0005957700327673518
8.358486185279777e-05,0.0001303246946678582,3.25052240538658e-05,0.0005957700327673518
8.358486185279777e-05,0.00020479594876377717,3.25052240538658e-05,0.0006888591003872505
0.00011609008590666357,0.00020479594876377717,3.714882749013234e-05,0.0006888591003872505
0.00011609008590666357,0.00027926720285969614,3.714882749013234e-05,0.0007074769139112303
0.00012537729277919667,0.00027926720285969614,4.179243092639888e-05,0.0007074769139112303
0.00012537729277919667,0.0003351206434316354,4.179243092639888e-05,0.00072609472743521
0.0001300208962154632,0.0003351206434316354,5.107963779893197e-05,0.00072609472743521
0.0001300208962154632,0.0003723562704795949,5.107963779893197e-05,0.000800565981531129
0.00013466449965172974,0.0003723562704795949,5.572324123519851e-05,0.000800565981531129
0.00013466449965172974,0.00039097408400357465,5.572324123519851e-05,0.0008191837950551087
0.00014859530996052937,0.00039097408400357465,6.50104481077316e-05,0.0008191837950551087
0.00014859530996052937,0.00044682752457551384,6.50104481077316e-05,0.0008378016085790885
0.00015788251683306246,0.00044682752457551384,6.965405154399815e-05,0.0008378016085790885
0.00015788251683306246,0.00048406315162347334,6.965405154399815e-05,0.0008936550491510277
0.00017645693057812863,0.00048406315162347334,7.894125841653123e-05,0.0008936550491510277
0.00017645693057812863,0.0005026809651474531,7.894125841653123e-05,0.0009308906761989872
0.00019967494775946135,0.0005026809651474531,8.358486185279777e-05,0.0009308906761989872
0.00019967494775946135,0.0005212987786714328,8.358486185279777e-05,0.0009495084897229669
0.00020431855119572789,0.0005212987786714328,9.287206872533086e-05,0.0009495084897229669
0.00020431855119572789,0.0005399165921954126,9.287206872533086e-05,0.001023979743818886
0.0002275365683770606,0.0005399165921954126,9.75156721615974e-05,0.001023979743818886
0.0002275365683770606,0.0005771522192433721,9.75156721615974e-05,0.0010798331843908252
0.00025075458555839334,0.0005771522192433721,0.00010215927559786394,0.0010798331843908252
0.00025075458555839334,0.0005957700327673518,0.00010215927559786394,0.0011543044384867442
0.0002786162061759926,0.0005957700327673518,0.00010680287903413049,0.0011543044384867442
0.0002786162061759926,0.0006143878462913316,0.00010680287903413049,0.0011915400655347036
0.00028325980961225913,0.0006143878462913316,0.00012073368934293011,0.0011915400655347036
0.00028325980961225913,0.000651623473339291,0.00012073368934293011,0.0012287756925826632
0.0002925470164847922,0.000651623473339291,0.00012537729277919667,0.0012287756925826632
0.0002925470164847922,0.0006888591003872505,0.00012537729277919667,0.001303246946678582
0.00029719061992105873,0.0006888591003872505,0.0001300208962154632,0.001303246946678582
0.00029719061992105873,0.0007074769139112303,0.0001300208962154632,0.0013218647602025618
0.00030183422335732527,0.0007074769139112303,0.0001393081030879963,0.0013218647602025618
0.00030183422335732527,0.00072609472743521,0.0001393081030879963,0.001377718200774501
0.0003064778267935918,0.00072609472743521,0.00014395170652426283,0.001377718200774501
0.0003064778267935918,0.0007447125409591898,0.00014395170652426283,0.0013963360142984808
0.0003668446714650569,0.0007447125409591898,0.00014859530996052937,0.0013963360142984808
0.0003668446714650569,0.0007633303544831695,0.00014859530996052937,0.0014708072683943998
0.00037148827490132344,0.0007633303544831695,0.0001532389133967959,0.0014708072683943998
0.00037148827490132344,0.0007819481680071493,0.0001532389133967959,0.0014894250819183796
0.0003947062920826561,0.0007819481680071493,0.00015788251683306246,0.0014894250819183796
0.0003947062920826561,0.0008378016085790885,0.00015788251683306246,0.0015452785224903188
0.00041792430926398884,0.0008378016085790885,0.000162526120269329,0.0015452785224903188
0.00041792430926398884,0.0008564194221030682,0.000162526120269329,0.0015825141495382782
0.00042721151613652196,0.0008564194221030682,0.00016716972370559553,0.0015825141495382782
0.00042721151613652196,0.0008936550491510277,0.00016716972370559553,0.001601131963062258
0.00043649872300905503,0.0008936550491510277,0.0001718133271418621,0.001601131963062258
0.00043649872300905503,0.0009308906761989872,0.0001718133271418621,0.0016197497765862378
0.00044114232644532157,0.0009308906761989872,0.00017645693057812863,0.0016197497765862378
0.00044114232644532157,0.0009681263032469467,0.00017645693057812863,0.0016383675901102174
0.00045042953331785463,0.0009681263032469467,0.00018110053401439516,0.0016383675901102174
0.00045042953331785463,0.0009867441167709264,0.00018110053401439516,0.001675603217158177
0.00045971674019038776,0.0009867441167709264,0.00018574413745066172,0.001675603217158177
0.00045971674019038776,0.0010053619302949062,0.00018574413745066172,0.0017128388442061364
0.0004690039470629208,0.0010053619302949062,0.00019038774088692826,0.0017128388442061364
0.0004690039470629208,0.001023979743818886,0.00019038774088692826,0.0018059279118260352
0.000487578360807987,0.001023979743818886,0.00019967494775946135,0.0018059279118260352
0.000487578360807987,0.0010425975573428656,0.00019967494775946135,0.001824545725350015
0.0004968655676805201,0.0010425975573428656,0.00021360575806826098,0.001824545725350015
0.0004968655676805201,0.0010612153708668454,0.00021360575806826098,0.0018803991659219542
0.0005015091711167867,0.0010612153708668454,0.00021824936150452752,0.0018803991659219542
0.0005015091711167867,0.0011170688114387846,0.00021824936150452752,0.0019921060470658326
0.0005107963779893197,0.0011170688114387846,0.00022289296494079405,0.0019921060470658326
0.0005107963779893197,0.0011356866249627644,0.00022289296494079405,0.0021224307417336908
0.0005154399814255862,0.0011356866249627644,0.0002275365683770606,0.0021224307417336908
0.0005154399814255862,0.0011543044384867442,0.0002275365683770606,0.0021596663687816504
0.0005200835848618528,0.0011543044384867442,0.00023682377524959368,0.0021596663687816504
0.0005200835848618528,0.0012101578790586834,0.00023682377524959368,0.00217828418230563
0.0005293707917343859,0.0012101578790586834,0.00024146737868586021,0.00217828418230563
0.0005293707917343859,0.0012287756925826632,0.00024146737868586021,0.002252755436401549
0.000538657998606919,0.0012287756925826632,0.00025075458555839334,0.002252755436401549
0.000538657998606919,0.0012473935061066428,0.00025075458555839334,0.0024203157581173668
0.0005433016020431855,0.0012473935061066428,0.00025539818899465987,0.0024203157581173668
